datetime,temp,flow,irradiance,action,text
2024-01-13 23:00:00,0.09,0.8166,0.0,1,Chauffer (résistance activée)
2024-01-14 00:00:00,0.09,0.7241,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-14 01:00:00,0.11,0.6002,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-14 02:00:00,0.14,0.4658,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-14 03:00:00,0.16,0.3725,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-14 04:00:00,0.15,0.3628,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-14 05:00:00,0.14,0.4304,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-14 06:00:00,0.17,0.518,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-14 07:00:00,0.3,0.5617,0.11,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-14 08:00:00,0.53,0.5424,0.36,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-14 09:00:00,0.8,0.5004,0.64,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-14 10:00:00,1.05,0.4992,0.81,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-14 11:00:00,1.22,0.5728,0.94,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-14 12:00:00,1.28,0.7007,1.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-14 13:00:00,1.22,0.8317,0.82,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-14 14:00:00,1.06,0.9276,0.52,1,Chauffer (résistance activée)
2024-01-14 15:00:00,0.82,0.9882,0.2,1,Chauffer (résistance activée)
2024-01-14 16:00:00,0.55,1.036,0.01,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-14 17:00:00,0.3,1.083,0.0,1,Chauffer (résistance activée)
2024-01-14 18:00:00,0.13,1.1151,0.0,1,Chauffer (résistance activée)
2024-01-14 19:00:00,0.07,1.1083,0.0,1,Chauffer (résistance activée)
2024-01-14 20:00:00,0.07,1.0567,0.0,1,Chauffer (résistance activée)
2024-01-14 21:00:00,0.1,0.9805,0.0,1,Chauffer (résistance activée)
2024-01-14 22:00:00,0.11,0.904,0.0,1,Chauffer (résistance activée)
