datetime,temp,flow,irradiance,action,text
2024-01-11 23:00:00,0.08,0.478,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-12 00:00:00,0.09,0.3857,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-12 01:00:00,0.11,0.2625,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-12 02:00:00,0.15,0.1287,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-12 03:00:00,0.17,0.0353,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-12 04:00:00,0.16,0.025,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-12 05:00:00,0.14,0.092,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-12 06:00:00,0.18,0.1799,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-12 07:00:00,0.31,0.2249,0.12,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-12 08:00:00,0.53,0.2069,0.42,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-12 09:00:00,0.79,0.1654,0.69,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-12 10:00:00,1.04,0.1637,0.9,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-12 11:00:00,1.21,0.2363,1.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-12 12:00:00,1.27,0.364,0.95,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-12 13:00:00,1.21,0.4956,0.76,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-12 14:00:00,1.06,0.5925,0.51,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-12 15:00:00,0.82,0.6535,0.21,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-12 16:00:00,0.55,0.7008,0.01,1,Chauffer (résistance activée)
2024-01-12 17:00:00,0.3,0.7467,0.0,1,Chauffer (résistance activée)
2024-01-12 18:00:00,0.14,0.7781,0.0,1,Chauffer (résistance activée)
2024-01-12 19:00:00,0.07,0.7713,0.0,1,Chauffer (résistance activée)
2024-01-12 20:00:00,0.08,0.7202,0.0,1,Chauffer (résistance activée)
2024-01-12 21:00:00,0.1,0.6441,0.0,1,Chauffer (résistance activée)
2024-01-12 22:00:00,0.11,0.5672,0.0,0,Ne pas chauffer (solaire ou inutilisé)
