datetime,temp,flow,irradiance,action,text
2024-01-17 23:00:00,0.06,0.4518,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-18 00:00:00,0.06,0.3668,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-18 01:00:00,0.08,0.2445,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-18 02:00:00,0.11,0.1051,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-18 03:00:00,0.12,0.0069,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-18 04:00:00,0.11,-0.0004,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-18 05:00:00,0.09,0.0766,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-18 06:00:00,0.12,0.1728,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-18 07:00:00,0.21,0.2157,0.13,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-18 08:00:00,0.37,0.1852,0.42,1,Chauffer (résistance activée)
2024-01-18 09:00:00,0.56,0.1296,0.71,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-18 10:00:00,0.73,0.1224,0.93,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-18 11:00:00,0.84,0.2001,1.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-18 12:00:00,0.87,0.3363,0.99,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-18 13:00:00,0.83,0.4705,0.75,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-18 14:00:00,0.72,0.562,0.51,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-18 15:00:00,0.55,0.6157,0.21,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-18 16:00:00,0.36,0.6614,0.02,1,Chauffer (résistance activée)
2024-01-18 17:00:00,0.2,0.7127,0.0,1,Chauffer (résistance activée)
2024-01-18 18:00:00,0.09,0.7497,0.0,1,Chauffer (résistance activée)
2024-01-18 19:00:00,0.05,0.7414,0.0,1,Chauffer (résistance activée)
2024-01-18 20:00:00,0.06,0.6808,0.0,1,Chauffer (résistance activée)
2024-01-18 21:00:00,0.08,0.594,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-18 22:00:00,0.09,0.5132,0.0,0,Ne pas chauffer (solaire ou inutilisé)
