datetime,temp,flow,irradiance,action,text
2024-01-18 23:00:00,0.08,0.4422,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-19 00:00:00,0.08,0.3552,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-19 01:00:00,0.1,0.2309,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-19 02:00:00,0.12,0.0896,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-19 03:00:00,0.13,-0.0104,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-19 04:00:00,0.12,-0.0194,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-19 05:00:00,0.11,0.0561,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-19 06:00:00,0.13,0.1509,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-19 07:00:00,0.22,0.1925,0.03,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-19 08:00:00,0.38,0.1609,0.14,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-19 09:00:00,0.56,0.1044,0.23,1,Chauffer (résistance activée)
2024-01-19 10:00:00,0.73,0.0964,0.37,1,Chauffer (résistance activée)
2024-01-19 11:00:00,0.84,0.1735,0.58,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-19 12:00:00,0.88,0.3092,0.64,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-19 13:00:00,0.84,0.4432,1.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-19 14:00:00,0.72,0.5346,0.69,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-19 15:00:00,0.55,0.5884,0.33,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-19 16:00:00,0.36,0.6343,0.04,1,Chauffer (résistance activée)
2024-01-19 17:00:00,0.19,0.686,0.0,1,Chauffer (résistance activée)
2024-01-19 18:00:00,0.09,0.7237,0.0,1,Chauffer (résistance activée)
2024-01-19 19:00:00,0.05,0.716,0.0,1,Chauffer (résistance activée)
2024-01-19 20:00:00,0.05,0.6562,0.0,1,Chauffer (résistance activée)
2024-01-19 21:00:00,0.07,0.5705,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-19 22:00:00,0.08,0.4907,0.0,0,Ne pas chauffer (solaire ou inutilisé)
