datetime,temp,flow,irradiance,action,text
2024-01-10 23:00:00,0.07,0.5041,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 00:00:00,0.07,0.4104,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 01:00:00,0.09,0.286,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 02:00:00,0.13,0.151,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 03:00:00,0.15,0.0564,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 04:00:00,0.13,0.0447,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 05:00:00,0.12,0.1104,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 06:00:00,0.15,0.1973,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 07:00:00,0.29,0.2415,0.15,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 08:00:00,0.52,0.2229,0.45,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 09:00:00,0.8,0.1803,0.74,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 10:00:00,1.06,0.1768,0.94,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 11:00:00,1.24,0.2474,1.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 12:00:00,1.3,0.3732,0.95,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 13:00:00,1.25,0.5033,0.77,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 14:00:00,1.08,0.5991,0.51,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 15:00:00,0.83,0.659,0.21,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 16:00:00,0.54,0.7048,0.01,1,Chauffer (résistance activée)
2024-01-11 17:00:00,0.28,0.7492,0.0,1,Chauffer (résistance activée)
2024-01-11 18:00:00,0.11,0.7791,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 19:00:00,0.04,0.7713,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 20:00:00,0.05,0.7194,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 21:00:00,0.08,0.6424,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-11 22:00:00,0.09,0.5644,0.0,0,Ne pas chauffer (solaire ou inutilisé)
