datetime,temp,flow,irradiance,action,text
2024-01-12 23:00:00,0.11,0.5855,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-13 00:00:00,0.11,0.4937,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-13 01:00:00,0.13,0.371,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-13 02:00:00,0.16,0.2377,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-13 03:00:00,0.18,0.1449,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-13 04:00:00,0.17,0.1351,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-13 05:00:00,0.15,0.2022,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-13 06:00:00,0.18,0.2899,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-13 07:00:00,0.31,0.3343,0.1,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-13 08:00:00,0.54,0.3158,0.35,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-13 09:00:00,0.81,0.2738,0.6,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-13 10:00:00,1.05,0.2716,0.78,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-13 11:00:00,1.22,0.3438,1.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-13 12:00:00,1.28,0.4707,0.82,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-13 13:00:00,1.23,0.6013,0.65,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-13 14:00:00,1.06,0.6971,0.42,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-13 15:00:00,0.82,0.7571,0.17,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-13 16:00:00,0.54,0.8034,0.01,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-13 17:00:00,0.28,0.8486,0.0,1,Chauffer (résistance activée)
2024-01-13 18:00:00,0.11,0.8791,0.0,1,Chauffer (résistance activée)
2024-01-13 19:00:00,0.04,0.8715,0.0,1,Chauffer (résistance activée)
2024-01-13 20:00:00,0.05,0.8193,0.0,1,Chauffer (résistance activée)
2024-01-13 21:00:00,0.07,0.742,0.0,1,Chauffer (résistance activée)
2024-01-13 22:00:00,0.08,0.6638,0.0,1,Chauffer (résistance activée)
