datetime,temp,flow,irradiance,action,text
2024-01-05 23:00:00,0.09,0.7396,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-06 00:00:00,0.09,0.6482,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-06 01:00:00,0.11,0.5274,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-06 02:00:00,0.15,0.3957,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-06 03:00:00,0.17,0.3022,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-06 04:00:00,0.16,0.2894,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-06 05:00:00,0.14,0.3538,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-06 06:00:00,0.17,0.4415,0.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-06 07:00:00,0.31,0.4892,0.09,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-06 08:00:00,0.55,0.475,0.3,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-06 09:00:00,0.84,0.4351,0.5,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-06 10:00:00,1.11,0.4315,0.65,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-06 11:00:00,1.3,0.5002,0.72,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-06 12:00:00,1.37,0.6245,1.0,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-06 13:00:00,1.3,0.7546,0.82,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-06 14:00:00,1.13,0.8513,0.56,1,Chauffer (résistance activée)
2024-01-06 15:00:00,0.86,0.9113,0.25,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-06 16:00:00,0.55,0.9558,0.02,0,Ne pas chauffer (solaire ou inutilisé)
2024-01-06 17:00:00,0.27,0.9982,0.0,1,Chauffer (résistance activée)
2024-01-06 18:00:00,0.08,1.027,0.0,1,Chauffer (résistance activée)
2024-01-06 19:00:00,0.01,1.0194,0.0,1,Chauffer (résistance activée)
2024-01-06 20:00:00,0.02,0.9682,0.0,1,Chauffer (résistance activée)
2024-01-06 21:00:00,0.04,0.8907,0.0,1,Chauffer (résistance activée)
2024-01-06 22:00:00,0.05,0.8108,0.0,1,Chauffer (résistance activée)
