changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,10.0,multiplicative,0.13854689061342845
0.01,1.0,multiplicative,0.1388386339858414
0.01,5.0,multiplicative,0.13887654175935524
0.01,10.0,additive,0.14071317073328493
0.01,1.0,additive,0.14074590967045142
0.01,5.0,additive,0.14093239947489952
0.05,5.0,additive,0.14116672903968788
0.05,1.0,additive,0.14119390549290256
0.1,1.0,additive,0.1421340317318839
0.1,10.0,additive,0.14760504938593663
0.05,10.0,multiplicative,0.14824077064765195
0.05,5.0,multiplicative,0.14899056438686198
0.05,1.0,multiplicative,0.149000411514899
0.05,10.0,additive,0.14962523133216396
0.1,1.0,multiplicative,0.15731347240104443
0.1,5.0,multiplicative,0.16210247343853754
0.1,10.0,multiplicative,0.16544549861503802
0.1,5.0,additive,0.2226664138850374
