changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.05,5.0,multiplicative,0.19547899418735432
0.05,10.0,multiplicative,0.19728825002298128
0.05,1.0,multiplicative,0.20223275791660153
0.01,10.0,additive,0.2116362706530891
0.01,5.0,additive,0.21211105883679024
0.01,1.0,additive,0.2121861981975044
0.1,5.0,multiplicative,0.21727825392936384
0.1,1.0,multiplicative,0.21823091481632978
0.1,10.0,multiplicative,0.21867867761245718
0.05,1.0,additive,0.2205342337840595
0.05,10.0,additive,0.2206748010997564
0.05,5.0,additive,0.22068009674136638
0.1,1.0,additive,0.22111798350330142
0.1,10.0,additive,0.22114647745318666
0.1,5.0,additive,0.22119940399412846
0.01,5.0,multiplicative,0.23268934234219762
0.01,10.0,multiplicative,0.23274356689655326
0.01,1.0,multiplicative,0.23376329811099478
