changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.05,5.0,multiplicative,0.08189825665403593
0.05,1.0,multiplicative,0.08190227035118088
0.05,10.0,multiplicative,0.0819042492100986
0.01,10.0,multiplicative,0.082284913188116
0.01,1.0,multiplicative,0.08230104603337972
0.01,5.0,multiplicative,0.08230923751272431
0.1,1.0,multiplicative,0.08233734743654764
0.1,10.0,multiplicative,0.08234069086202961
0.1,5.0,multiplicative,0.08235384821070627
0.1,1.0,additive,0.0825079588308293
0.1,10.0,additive,0.08250891416850524
0.1,5.0,additive,0.08251491006644023
0.05,5.0,additive,0.08255049712813904
0.05,10.0,additive,0.08256747763810622
0.05,1.0,additive,0.08256799589519405
0.01,1.0,additive,0.08314141941873451
0.01,10.0,additive,0.08316816818950444
0.01,5.0,additive,0.08320476961717413
