changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,5.0,multiplicative,0.10717787272500823
0.01,10.0,multiplicative,0.10718665857249694
0.01,1.0,multiplicative,0.10724414811456082
0.1,5.0,multiplicative,0.10792986054602795
0.1,1.0,multiplicative,0.10800289820019109
0.1,10.0,multiplicative,0.10801874218944457
0.05,1.0,multiplicative,0.1082205336614488
0.05,10.0,multiplicative,0.10826526353957347
0.05,5.0,multiplicative,0.10848086807373444
0.01,10.0,additive,0.10850454920544178
0.01,5.0,additive,0.10853370199018893
0.01,1.0,additive,0.1085491270712028
0.05,1.0,additive,0.10947019963842744
0.05,5.0,additive,0.10953213612051187
0.05,10.0,additive,0.10955012843152484
0.1,5.0,additive,0.10962007538890792
0.1,10.0,additive,0.10965084009619527
0.1,1.0,additive,0.10981709049213519
