changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,5.0,multiplicative,0.10777760930925155
0.01,1.0,multiplicative,0.1078060098422157
0.01,10.0,multiplicative,0.10802324747010761
0.05,5.0,multiplicative,0.10862777292639482
0.05,1.0,multiplicative,0.10864652992058066
0.05,10.0,multiplicative,0.10865032449269153
0.1,5.0,multiplicative,0.10898575629214813
0.1,10.0,multiplicative,0.10921856714283767
0.01,5.0,additive,0.10936053435773886
0.01,10.0,additive,0.10938661265710933
0.01,1.0,additive,0.10951292519396792
0.05,5.0,additive,0.11028798347128416
0.05,10.0,additive,0.11038954591570367
0.05,1.0,additive,0.11040507696721212
0.1,10.0,additive,0.11077164684709269
0.1,5.0,additive,0.11078500766009922
0.1,1.0,additive,0.11089981169737126
0.1,1.0,multiplicative,0.11643145436530325
