changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,5.0,multiplicative,0.18482504399833474
0.01,1.0,multiplicative,0.18596433604280713
0.01,10.0,additive,0.18612986809997858
0.01,5.0,additive,0.1861474688502588
0.01,1.0,additive,0.18641627700339944
0.01,10.0,multiplicative,0.1865853828297123
0.05,5.0,multiplicative,0.19994237457134983
0.05,10.0,multiplicative,0.20220862494812725
0.05,1.0,multiplicative,0.20802580629798995
0.05,1.0,additive,0.2257653713450996
0.1,10.0,additive,0.24721488663619376
0.05,10.0,additive,0.25528437665842607
0.05,5.0,additive,0.2598007587640591
0.1,10.0,multiplicative,0.26967449027492324
0.1,1.0,additive,0.2705226814305583
0.1,5.0,additive,0.2800162826105487
0.1,1.0,multiplicative,0.28008800390725047
0.1,5.0,multiplicative,0.281615474972177
