changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,10.0,additive,0.18019998879862031
0.01,1.0,additive,0.18021444314916035
0.01,5.0,additive,0.18022532241431777
0.01,1.0,multiplicative,0.183194147612476
0.05,1.0,multiplicative,0.1837063999471582
0.05,5.0,multiplicative,0.184646062588225
0.01,10.0,multiplicative,0.18468491298563078
0.01,5.0,multiplicative,0.1848511065695376
0.1,5.0,multiplicative,0.18492305849712057
0.1,1.0,multiplicative,0.18494383954199728
0.1,10.0,multiplicative,0.18500713149984346
0.05,10.0,multiplicative,0.1852507287587149
0.05,10.0,additive,0.18532945305059698
0.05,1.0,additive,0.18671937197056476
0.05,5.0,additive,0.18710106589501413
0.1,5.0,additive,0.1878296563504839
0.1,10.0,additive,0.18791994103865134
0.1,1.0,additive,0.207463953417155
