changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,10.0,multiplicative,0.1262821252437121
0.01,5.0,multiplicative,0.12666347094538266
0.01,1.0,multiplicative,0.12690028683102889
0.01,5.0,additive,0.13141964817283908
0.05,1.0,multiplicative,0.13157502856732717
0.01,1.0,additive,0.1325704898783874
0.01,10.0,additive,0.13265550123784875
0.1,1.0,multiplicative,0.13702461137184188
0.05,10.0,multiplicative,0.1405264885699045
0.1,10.0,multiplicative,0.14209935872430682
0.1,5.0,multiplicative,0.14439991767357216
0.05,5.0,multiplicative,0.14710396239925613
0.05,1.0,additive,0.1487344065016155
0.05,5.0,additive,0.15571158413969602
0.05,10.0,additive,0.1580597880487616
0.1,10.0,additive,0.16558900597397236
0.1,1.0,additive,0.16619381496128713
0.1,5.0,additive,0.16732446467689135
