changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.05,10.0,multiplicative,0.13092648174114302
0.01,10.0,multiplicative,0.13130806221220223
0.05,1.0,multiplicative,0.13160257446271056
0.01,5.0,multiplicative,0.13163387421505343
0.01,1.0,multiplicative,0.1318521053051047
0.01,1.0,additive,0.1357161391337027
0.1,1.0,multiplicative,0.13678539035444948
0.01,5.0,additive,0.13708760386126315
0.01,10.0,additive,0.13743191294786228
0.1,10.0,multiplicative,0.1414385426727752
0.1,5.0,multiplicative,0.14370233765987137
0.05,5.0,multiplicative,0.1469228504253339
0.05,5.0,additive,0.15395112507937564
0.05,10.0,additive,0.15725017454518245
0.05,1.0,additive,0.1594763031631565
0.1,1.0,additive,0.16804252856312188
0.1,10.0,additive,0.168303172936902
0.1,5.0,additive,0.1692908232861475
