changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.05,5.0,multiplicative,0.10722685263675384
0.05,10.0,multiplicative,0.10729158202001335
0.05,1.0,multiplicative,0.10740412307685848
0.01,1.0,multiplicative,0.10779514438907055
0.01,5.0,multiplicative,0.10796885744650855
0.01,10.0,multiplicative,0.10799017735107862
0.01,10.0,additive,0.10904640977646296
0.01,5.0,additive,0.10906149138313241
0.01,1.0,additive,0.10908884199479955
0.05,1.0,additive,0.10931540023213888
0.1,1.0,multiplicative,0.10972038975880385
0.1,10.0,multiplicative,0.10994992678169102
0.05,5.0,additive,0.11176990338007944
0.05,10.0,additive,0.11246234360258181
0.1,5.0,multiplicative,0.1125489391085107
0.1,5.0,additive,0.11279371508160412
0.1,1.0,additive,0.11299913601770073
0.1,10.0,additive,0.11368567534913133
