changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,5.0,additive,0.1900453732361674
0.01,10.0,additive,0.19012143255220815
0.01,1.0,additive,0.19017969262404025
0.01,5.0,multiplicative,0.19339766428834185
0.01,10.0,multiplicative,0.19340133859058198
0.01,1.0,multiplicative,0.1934211749793659
0.05,10.0,multiplicative,0.19570220434373065
0.05,1.0,multiplicative,0.19617260275969473
0.05,5.0,multiplicative,0.19685746308594143
0.05,10.0,additive,0.19891557988551695
0.05,1.0,additive,0.20069766967661987
0.05,5.0,additive,0.20192291626893835
0.1,1.0,multiplicative,0.20722730841635698
0.1,10.0,multiplicative,0.21197541191352265
0.1,5.0,multiplicative,0.21275631745919188
0.1,10.0,additive,0.2136641063932666
0.1,5.0,additive,0.21398200135268103
0.1,1.0,additive,0.2163816406481588
