changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,5.0,additive,0.19048781505434234
0.01,10.0,additive,0.1907684835339902
0.01,1.0,additive,0.19128610274270116
0.05,5.0,multiplicative,0.19817260546868284
0.01,10.0,multiplicative,0.19844687324331467
0.05,1.0,multiplicative,0.19856348051909978
0.01,5.0,multiplicative,0.19860545375300048
0.05,5.0,additive,0.1986949553930855
0.01,1.0,multiplicative,0.1990274192013666
0.05,1.0,additive,0.19916680776436102
0.05,10.0,multiplicative,0.19955953721602043
0.05,10.0,additive,0.1997304314916267
0.1,1.0,multiplicative,0.22113721859322197
0.1,5.0,multiplicative,0.22411843662024822
0.1,10.0,additive,0.2244329393677596
0.1,5.0,additive,0.2254531833137137
0.1,10.0,multiplicative,0.2255148317445235
0.1,1.0,additive,0.22665444666616266
