changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,1.0,multiplicative,0.10739115146504145
0.01,10.0,multiplicative,0.10740402849416843
0.01,5.0,multiplicative,0.10745290961443585
0.01,10.0,additive,0.10759033683326175
0.01,1.0,additive,0.10777852201761305
0.01,5.0,additive,0.10781257225588177
0.05,1.0,multiplicative,0.10848536141080457
0.05,5.0,multiplicative,0.10850875362977616
0.05,10.0,additive,0.10878022062694043
0.05,10.0,multiplicative,0.10907347919479678
0.1,10.0,multiplicative,0.10939953010288904
0.1,1.0,multiplicative,0.10954666332075937
0.1,5.0,multiplicative,0.10957620726688326
0.05,5.0,additive,0.11309282930469644
0.1,1.0,additive,0.11360373207643049
0.1,5.0,additive,0.11390766063993572
0.05,1.0,additive,0.11442088013804
0.1,10.0,additive,0.11591288386287424
