changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,10.0,multiplicative,0.10685900927568719
0.01,1.0,multiplicative,0.10690587196489108
0.01,5.0,multiplicative,0.10696580238543343
0.01,5.0,additive,0.10716759036532807
0.01,1.0,additive,0.10717948782384946
0.01,10.0,additive,0.10719818542406936
0.05,10.0,multiplicative,0.1075920146368793
0.05,1.0,additive,0.10785611787790167
0.05,5.0,additive,0.10791126388972858
0.05,10.0,additive,0.10813290105760955
0.05,1.0,multiplicative,0.10832226908158177
0.05,5.0,multiplicative,0.108459548535278
0.1,10.0,multiplicative,0.10853764115046456
0.1,1.0,multiplicative,0.10864849866546848
0.1,5.0,multiplicative,0.10881165240404699
0.1,1.0,additive,0.10919642011286822
0.1,5.0,additive,0.10931605749873542
0.1,10.0,additive,0.10935167320495451
