changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,10.0,multiplicative,0.11308732433413628
0.01,5.0,multiplicative,0.11322108944628052
0.01,1.0,multiplicative,0.11343643947456938
0.01,5.0,additive,0.11536885381796211
0.01,1.0,additive,0.1156458325822723
0.01,10.0,additive,0.11573112462659534
0.05,1.0,multiplicative,0.11654590858765587
0.05,10.0,multiplicative,0.1189185891753042
0.05,5.0,multiplicative,0.11953254561081461
0.1,1.0,multiplicative,0.1213709082798439
0.05,1.0,additive,0.12546024557634364
0.05,5.0,additive,0.12599775830883927
0.1,5.0,multiplicative,0.12624468920167523
0.1,10.0,multiplicative,0.12629255121668725
0.05,10.0,additive,0.13060195529013116
0.1,1.0,additive,0.14165742015559185
0.1,5.0,additive,0.14172861427111005
0.1,10.0,additive,0.14268955549526377
