changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.05,5.0,multiplicative,0.135600726034254
0.05,1.0,multiplicative,0.13646200362097166
0.05,10.0,multiplicative,0.1366743209661265
0.01,1.0,additive,0.13981267542864487
0.01,10.0,additive,0.14022146896123774
0.01,5.0,additive,0.14026872919406047
0.05,1.0,additive,0.1432473484972609
0.05,10.0,additive,0.14562317501954156
0.05,5.0,additive,0.1457171124127685
0.1,10.0,additive,0.14809026262164485
0.1,10.0,multiplicative,0.15070201701575078
0.01,10.0,multiplicative,0.15124544366999335
0.01,1.0,multiplicative,0.15132393054468934
0.1,1.0,multiplicative,0.15134664017844007
0.1,5.0,additive,0.1517252042537814
0.01,5.0,multiplicative,0.15195417693242996
0.1,5.0,multiplicative,0.15211217161135931
0.1,1.0,additive,0.15237397308711162
