changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,5.0,additive,0.18497823418085038
0.01,10.0,additive,0.18505315815866785
0.01,1.0,additive,0.18509342123866862
0.01,10.0,multiplicative,0.18646913102200707
0.01,5.0,multiplicative,0.18648899098170754
0.01,1.0,multiplicative,0.18657386177649743
0.05,10.0,multiplicative,0.18868354105300406
0.05,1.0,multiplicative,0.1894148721286296
0.05,5.0,multiplicative,0.18995491700246273
0.05,1.0,additive,0.194374159649138
0.05,5.0,additive,0.19498499312977763
0.05,10.0,additive,0.19712034144301055
0.1,5.0,additive,0.2024949063162792
0.1,10.0,additive,0.20277807027263967
0.1,1.0,multiplicative,0.2040866253451637
0.1,10.0,multiplicative,0.20660314563470653
0.1,5.0,multiplicative,0.2066204804888999
0.1,1.0,additive,0.20705690336448834
