changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,10.0,multiplicative,0.10632200533242706
0.01,1.0,multiplicative,0.1063988124762432
0.01,5.0,multiplicative,0.10645745825739794
0.01,5.0,additive,0.10673010748700965
0.01,10.0,additive,0.10676375359698927
0.01,1.0,additive,0.10676525626898159
0.05,10.0,multiplicative,0.10738527686266763
0.05,1.0,additive,0.10768847600367104
0.05,5.0,additive,0.10778449723918748
0.05,10.0,additive,0.10810299034474755
0.05,1.0,multiplicative,0.1084853544864719
0.05,5.0,multiplicative,0.10867839833599949
0.1,10.0,multiplicative,0.10880088551041707
0.1,1.0,multiplicative,0.10895957082062706
0.1,5.0,multiplicative,0.1092098320205683
0.1,1.0,additive,0.10968428775274604
0.1,5.0,additive,0.10984922078628624
0.1,10.0,additive,0.10990737129322313
