changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,10.0,multiplicative,0.1063709547870198
0.01,1.0,multiplicative,0.10640257702814754
0.01,5.0,multiplicative,0.10646562738959642
0.01,5.0,additive,0.10666259748322589
0.01,1.0,additive,0.10667171360157772
0.01,10.0,additive,0.10668331544709704
0.05,10.0,multiplicative,0.10720080019453884
0.05,1.0,additive,0.10743412129434324
0.05,5.0,additive,0.10750433417656258
0.05,10.0,additive,0.1077383238888318
0.05,1.0,multiplicative,0.10800876998544379
0.05,5.0,multiplicative,0.10816094238455742
0.1,10.0,multiplicative,0.10827594751395313
0.1,1.0,multiplicative,0.10839783544271184
0.1,5.0,multiplicative,0.10858122870010521
0.1,1.0,additive,0.10892239095531725
0.1,5.0,additive,0.10905548263719794
0.1,10.0,additive,0.10909572340317876
