changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,1.0,multiplicative,0.10692980589528553
0.01,10.0,multiplicative,0.10693699800611449
0.01,5.0,multiplicative,0.10699441832758254
0.01,10.0,additive,0.10714331166232685
0.01,1.0,additive,0.10734074858757062
0.01,5.0,additive,0.10737919047364076
0.05,1.0,multiplicative,0.1080919810889929
0.05,5.0,multiplicative,0.10811641894242653
0.05,10.0,additive,0.10841246159123391
0.05,10.0,multiplicative,0.10872420057479562
0.1,10.0,multiplicative,0.1090881573639262
0.1,1.0,multiplicative,0.10924747387345368
0.1,5.0,multiplicative,0.10927710809649534
0.05,5.0,additive,0.11304519125045795
0.1,1.0,additive,0.11361917479853309
0.1,5.0,additive,0.11394126382003954
0.05,1.0,additive,0.11446712531410883
0.1,10.0,additive,0.11608860999422084
