changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,1.0,multiplicative,0.1069572838345282
0.01,10.0,multiplicative,0.10706777449024597
0.01,5.0,multiplicative,0.10709677110271738
0.01,10.0,additive,0.10712525913907017
0.05,1.0,multiplicative,0.10751205536083515
0.01,5.0,additive,0.10754755033043434
0.05,5.0,additive,0.10756421767270898
0.05,10.0,additive,0.10756519393343116
0.01,1.0,additive,0.10757505809230776
0.05,5.0,multiplicative,0.10787955884283464
0.05,10.0,multiplicative,0.10800760901246749
0.05,1.0,additive,0.11971010477854065
0.1,1.0,multiplicative,0.12726789266172947
0.1,10.0,additive,0.12802024922362434
0.1,5.0,multiplicative,0.13088915662652126
0.1,1.0,additive,0.13374320025146438
0.1,10.0,multiplicative,0.14406324460083858
0.1,5.0,additive,0.18672026586750362
