changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.1,5.0,multiplicative,0.08807231186202907
0.01,5.0,additive,0.08992457549499666
0.01,10.0,additive,0.09017493020721692
0.01,1.0,additive,0.09075331172024496
0.1,10.0,additive,0.0930090162174529
0.1,1.0,additive,0.09315157402857609
0.1,5.0,additive,0.09318090023106795
0.05,10.0,additive,0.0935168671836008
0.05,5.0,additive,0.09353617106122328
0.05,1.0,additive,0.09358640729736276
0.1,1.0,multiplicative,0.09379222324315192
0.1,10.0,multiplicative,0.09474193032304434
0.05,1.0,multiplicative,0.09769051861723527
0.05,10.0,multiplicative,0.102065312069533
0.05,5.0,multiplicative,0.10220782184521784
0.01,1.0,multiplicative,0.12533170484041695
0.01,10.0,multiplicative,0.1278115414650026
0.01,5.0,multiplicative,0.12837515792063464
