changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,1.0,additive,0.10786891901578333
0.01,10.0,additive,0.10787644628959477
0.01,5.0,additive,0.10794035952599551
0.01,1.0,multiplicative,0.10825498116912234
0.01,10.0,multiplicative,0.10829961225794113
0.01,5.0,multiplicative,0.10844408044084305
0.1,5.0,additive,0.11059237740337617
0.05,5.0,additive,0.1106374142070008
0.1,10.0,additive,0.11074331002576653
0.05,10.0,additive,0.11081529521142022
0.05,1.0,additive,0.110881002442882
0.05,1.0,multiplicative,0.11120147142602743
0.05,5.0,multiplicative,0.11131745573204518
0.1,5.0,multiplicative,0.1115644591149558
0.05,10.0,multiplicative,0.11180740072156056
0.1,1.0,multiplicative,0.11181466769636196
0.1,1.0,additive,0.11206709137628619
0.1,10.0,multiplicative,0.11235789666828504
