changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.05,5.0,multiplicative,0.13745757782029852
0.05,10.0,multiplicative,0.13752921825047498
0.05,1.0,multiplicative,0.13780651337258673
0.1,10.0,multiplicative,0.1461052996878271
0.1,1.0,multiplicative,0.14669821749836714
0.01,1.0,additive,0.14682258536988535
0.01,5.0,additive,0.1474845743638509
0.01,10.0,additive,0.14806063505931055
0.1,5.0,multiplicative,0.148576874648447
0.01,10.0,multiplicative,0.15556731858550374
0.01,1.0,multiplicative,0.1558145416626726
0.01,5.0,multiplicative,0.1559341491795312
0.05,1.0,additive,0.15650144568994329
0.05,10.0,additive,0.15761367330867831
0.05,5.0,additive,0.15849780729808371
0.1,5.0,additive,0.18343080273075407
0.1,1.0,additive,0.18530481981150354
0.1,10.0,additive,0.18703003741534457
