changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.05,5.0,multiplicative,0.0831263526737697
0.05,1.0,multiplicative,0.08313282133320389
0.05,10.0,multiplicative,0.08313471105055938
0.1,1.0,multiplicative,0.08324589646762919
0.1,5.0,multiplicative,0.08326758668735078
0.1,10.0,multiplicative,0.08329318808481986
0.01,1.0,multiplicative,0.08338904136720246
0.01,5.0,multiplicative,0.08339805385351166
0.01,10.0,multiplicative,0.08343057254087251
0.1,10.0,additive,0.08610059846744536
0.1,1.0,additive,0.08620366898711872
0.1,5.0,additive,0.08622140514986357
0.05,10.0,additive,0.08641448286292762
0.05,1.0,additive,0.0864289139193928
0.05,5.0,additive,0.08649075939744412
0.01,10.0,additive,0.0869659296204394
0.01,1.0,additive,0.08710436565853545
0.01,5.0,additive,0.08710531942012244
