changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,5.0,additive,0.19156542267066334
0.01,10.0,additive,0.1918005590728235
0.01,1.0,additive,0.19197352860058575
0.05,5.0,multiplicative,0.19796999667289955
0.05,1.0,multiplicative,0.19837583225422353
0.01,10.0,multiplicative,0.19879176705439175
0.01,5.0,multiplicative,0.19896113899810303
0.05,10.0,multiplicative,0.19898162834346117
0.01,1.0,multiplicative,0.19901995055921784
0.05,1.0,additive,0.19930719448778336
0.05,5.0,additive,0.20019589428359702
0.05,10.0,additive,0.20261379524182738
0.1,5.0,additive,0.21005157774951053
0.1,10.0,additive,0.21023659867573635
0.1,1.0,additive,0.21112082740831042
0.1,1.0,multiplicative,0.21157047887204625
0.1,5.0,multiplicative,0.2116915313912252
0.1,10.0,multiplicative,0.21229371341613995
