changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,1.0,multiplicative,0.11540794385219232
0.01,5.0,multiplicative,0.11660273034417537
0.01,10.0,multiplicative,0.11675189605249502
0.1,1.0,additive,0.13428669565697066
0.1,10.0,additive,0.13444216626429992
0.01,10.0,additive,0.1348708776562507
0.01,1.0,additive,0.13495711050022535
0.01,5.0,additive,0.13607221609673753
0.05,10.0,additive,0.13650567955463824
0.05,5.0,additive,0.13707516277375195
0.05,1.0,additive,0.13751111459795087
0.05,1.0,multiplicative,0.15247364101661084
0.05,10.0,multiplicative,0.15302064039274071
0.05,5.0,multiplicative,0.1535683831687451
0.1,5.0,multiplicative,0.176554385496593
0.1,1.0,multiplicative,0.18351068646452506
0.1,10.0,multiplicative,0.18981564557381805
0.1,5.0,additive,0.39313114301310254
