changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.05,10.0,multiplicative,0.13179230499581954
0.05,1.0,multiplicative,0.13225613478928339
0.05,5.0,multiplicative,0.13881435998808164
0.1,1.0,multiplicative,0.13952478189022757
0.1,10.0,multiplicative,0.1426392705344066
0.01,10.0,multiplicative,0.14341577761873067
0.1,5.0,multiplicative,0.1435419805062556
0.01,1.0,multiplicative,0.14362863139860074
0.01,5.0,multiplicative,0.14387270081886494
0.01,1.0,additive,0.14417320312886744
0.01,5.0,additive,0.14488564340260277
0.01,10.0,additive,0.1451344871536344
0.05,1.0,additive,0.14968699974497696
0.05,10.0,additive,0.15047728199724217
0.05,5.0,additive,0.15095049724541842
0.1,5.0,additive,0.1656771478757968
0.1,1.0,additive,0.16682794714950636
0.1,10.0,additive,0.16787678318190444
