changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.05,10.0,multiplicative,0.13015901744780287
0.05,1.0,multiplicative,0.13026388478610654
0.1,1.0,multiplicative,0.13815221429744343
0.1,10.0,multiplicative,0.14926718274047404
0.01,10.0,multiplicative,0.15115648432256404
0.01,5.0,multiplicative,0.1516521302268486
0.01,1.0,multiplicative,0.15188978002088616
0.1,5.0,multiplicative,0.15322307965145188
0.01,5.0,additive,0.1641143486711243
0.01,1.0,additive,0.1641451332510485
0.01,10.0,additive,0.16420334899923184
0.05,5.0,multiplicative,0.17080572750610454
0.05,1.0,additive,0.17128965168380705
0.05,10.0,additive,0.17190413398755813
0.05,5.0,additive,0.17237088325776012
0.1,5.0,additive,0.18450440647486305
0.1,1.0,additive,0.18519197280916452
0.1,10.0,additive,0.18601202261395242
