changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,5.0,additive,0.1896603648739098
0.01,10.0,additive,0.18981972743843326
0.01,1.0,additive,0.1910840742713882
0.01,5.0,multiplicative,0.1954943874970554
0.01,10.0,multiplicative,0.19587950738608448
0.01,1.0,multiplicative,0.1970625427776423
0.05,1.0,multiplicative,0.20127056530011658
0.05,5.0,multiplicative,0.2018097309267341
0.05,10.0,multiplicative,0.2029717022395959
0.05,1.0,additive,0.20619398323990434
0.05,10.0,additive,0.21070593211711494
0.05,5.0,additive,0.21103550884391675
0.1,10.0,multiplicative,0.2134551794146803
0.1,1.0,multiplicative,0.21353858365406758
0.1,5.0,multiplicative,0.21414992608726224
0.1,1.0,additive,0.23114635134913367
0.1,5.0,additive,0.24410830845942516
0.1,10.0,additive,0.24446951645214965
