changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,1.0,additive,0.17840672016610057
0.01,10.0,additive,0.17841610133445907
0.01,5.0,additive,0.1784567671583247
0.05,1.0,multiplicative,0.1837911736653669
0.01,1.0,multiplicative,0.18433977278947514
0.05,10.0,additive,0.18439213547642072
0.1,5.0,multiplicative,0.18446690653118827
0.1,1.0,multiplicative,0.1846162849038944
0.05,5.0,multiplicative,0.1846308374563737
0.01,10.0,multiplicative,0.1850682964559948
0.1,10.0,multiplicative,0.1850831988567907
0.05,10.0,multiplicative,0.1860855892740514
0.01,5.0,multiplicative,0.1862635940659105
0.05,1.0,additive,0.18649404261151661
0.05,5.0,additive,0.18700778242614463
0.1,5.0,additive,0.192138472478348
0.1,10.0,additive,0.19225163257968275
0.1,1.0,additive,0.21743883520858387
