changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.05,10.0,multiplicative,0.12080786593648286
0.05,1.0,multiplicative,0.12085293068349462
0.1,1.0,multiplicative,0.12551587817812562
0.1,10.0,multiplicative,0.1336133517589367
0.01,10.0,multiplicative,0.13416147460950875
0.01,5.0,multiplicative,0.13451958543001427
0.01,1.0,multiplicative,0.13465558713130713
0.1,5.0,multiplicative,0.13630916293076248
0.01,5.0,additive,0.14276853479316712
0.01,10.0,additive,0.1428054608001773
0.01,1.0,additive,0.1428816629959352
0.05,5.0,multiplicative,0.14689161456888164
0.05,1.0,additive,0.14775228366069837
0.05,10.0,additive,0.14816917262981863
0.05,5.0,additive,0.1484234291778279
0.1,1.0,additive,0.1573919116088287
0.1,5.0,additive,0.15999938036645628
0.1,10.0,additive,0.16252094267520537
