changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,5.0,additive,0.1912266261325882
0.01,10.0,additive,0.1914960686047385
0.01,1.0,additive,0.19168818571127905
0.05,5.0,additive,0.19911669679986943
0.05,1.0,additive,0.1995304684040058
0.05,10.0,additive,0.2000418174843979
0.05,5.0,multiplicative,0.2015017840113542
0.05,1.0,multiplicative,0.2015343727919236
0.05,10.0,multiplicative,0.20213663067866383
0.01,5.0,multiplicative,0.2035591233585527
0.01,10.0,multiplicative,0.20358545391791918
0.01,1.0,multiplicative,0.20364379652582368
0.1,10.0,additive,0.20552225542909683
0.1,5.0,additive,0.20611254454978456
0.1,10.0,multiplicative,0.20833247800828567
0.1,5.0,multiplicative,0.20911014731788324
0.1,1.0,multiplicative,0.20928020709553136
0.1,1.0,additive,0.2180876381281471
