changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,5.0,multiplicative,0.10667465205770373
0.01,10.0,multiplicative,0.10668522836163351
0.01,1.0,multiplicative,0.10672612014274627
0.1,5.0,multiplicative,0.10734412809083238
0.1,1.0,multiplicative,0.10740846995148644
0.1,10.0,multiplicative,0.10741241494987595
0.05,1.0,multiplicative,0.10756482977364525
0.05,10.0,multiplicative,0.10759436145464264
0.01,10.0,additive,0.1077107047888569
0.01,5.0,additive,0.10773895011172373
0.01,1.0,additive,0.10774208760001318
0.05,5.0,multiplicative,0.10776580914149718
0.05,1.0,additive,0.10853215076297897
0.05,5.0,additive,0.10858375575783456
0.05,10.0,additive,0.10859068437792739
0.1,5.0,additive,0.10868576961933128
0.1,10.0,additive,0.10870491729165845
0.1,1.0,additive,0.10884479941624135
