changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,10.0,multiplicative,0.12370228189806182
0.01,5.0,multiplicative,0.12387825001222348
0.01,1.0,multiplicative,0.12427846550053437
0.01,5.0,additive,0.12765942113730525
0.01,1.0,additive,0.1281027839538899
0.01,10.0,additive,0.12818985068603803
0.05,1.0,multiplicative,0.1282136094448656
0.05,10.0,multiplicative,0.13072208382388112
0.1,1.0,multiplicative,0.13137544230215065
0.05,5.0,multiplicative,0.13230935416511427
0.1,10.0,multiplicative,0.13660287717171066
0.1,5.0,multiplicative,0.13771598931093113
0.05,1.0,additive,0.1410860046988969
0.05,5.0,additive,0.14239443281665878
0.05,10.0,additive,0.14933335352184768
0.1,10.0,additive,0.16601065600532966
0.1,1.0,additive,0.1661891703592429
0.1,5.0,additive,0.16632321926647103
