changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,5.0,additive,0.19115333246536056
0.01,10.0,additive,0.1912890049685498
0.01,1.0,additive,0.1914236519126391
0.01,10.0,multiplicative,0.19769026187248734
0.01,5.0,multiplicative,0.19784797786061692
0.01,1.0,multiplicative,0.1980368501122693
0.05,1.0,multiplicative,0.1982691519229133
0.05,10.0,additive,0.19834325348756715
0.05,5.0,multiplicative,0.19839072538810817
0.05,5.0,additive,0.19855644651598944
0.05,10.0,multiplicative,0.1993031756848078
0.05,1.0,additive,0.19978253093388193
0.1,5.0,multiplicative,0.20364508636793105
0.1,10.0,multiplicative,0.20787330198396348
0.1,1.0,multiplicative,0.2085284260088324
0.1,5.0,additive,0.21485520643524705
0.1,1.0,additive,0.21609665494656405
0.1,10.0,additive,0.2188817807740615
