changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.05,5.0,multiplicative,0.1398443978252123
0.05,10.0,multiplicative,0.13984743067303745
0.05,1.0,multiplicative,0.14004478332797113
0.01,1.0,additive,0.14785797549047872
0.01,5.0,additive,0.1484035932524335
0.01,10.0,additive,0.14882672837457983
0.1,1.0,multiplicative,0.1499393822616753
0.1,10.0,multiplicative,0.1512941735035725
0.1,5.0,multiplicative,0.1516705208719777
0.01,1.0,multiplicative,0.15435127846140168
0.01,10.0,multiplicative,0.15443367043402664
0.01,5.0,multiplicative,0.15481219298564391
0.05,1.0,additive,0.15608217370442243
0.05,10.0,additive,0.157029162070346
0.05,5.0,additive,0.15776987768110368
0.1,5.0,additive,0.1793424334273469
0.1,1.0,additive,0.18099517187791828
0.1,10.0,additive,0.18243315734368407
