changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,1.0,additive,0.142820285969384
0.01,10.0,additive,0.1429853386808671
0.01,5.0,additive,0.1430144359650594
0.05,10.0,multiplicative,0.1442962896757617
0.05,5.0,multiplicative,0.14434973624501865
0.05,1.0,multiplicative,0.14441606761274178
0.05,1.0,additive,0.14982691265092143
0.05,10.0,additive,0.1506270725697527
0.05,5.0,additive,0.1514364650439919
0.1,10.0,additive,0.15158293545494608
0.1,1.0,additive,0.15215275268542416
0.1,5.0,additive,0.1531358948954068
0.01,5.0,multiplicative,0.15332939338556975
0.01,10.0,multiplicative,0.15371477639355347
0.01,1.0,multiplicative,0.15410136163701513
0.1,1.0,multiplicative,0.15598361477530198
0.1,10.0,multiplicative,0.15605148265013583
0.1,5.0,multiplicative,0.156212948506642
