changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.05,10.0,multiplicative,0.12930653159085678
0.05,1.0,multiplicative,0.1299430494690222
0.1,1.0,multiplicative,0.1368584168417227
0.1,10.0,multiplicative,0.14497265473281032
0.01,10.0,multiplicative,0.14513488827092771
0.01,5.0,multiplicative,0.14526663054871827
0.01,1.0,multiplicative,0.14585106691423136
0.1,5.0,multiplicative,0.14887057015476757
0.01,5.0,additive,0.15619960217434534
0.01,10.0,additive,0.15624672604810994
0.01,1.0,additive,0.1564246581101837
0.05,5.0,multiplicative,0.15766590092870267
0.05,1.0,additive,0.16514453515636496
0.05,10.0,additive,0.16639486830716463
0.05,5.0,additive,0.16712971115465963
0.1,5.0,additive,0.1791850449925995
0.1,1.0,additive,0.1806135240045671
0.1,10.0,additive,0.18104486071467696
