changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,10.0,multiplicative,0.12484814689000513
0.01,5.0,multiplicative,0.12504128956050092
0.01,1.0,multiplicative,0.12536196018014675
0.01,5.0,additive,0.12926963010722864
0.01,1.0,additive,0.12973110374651853
0.01,10.0,additive,0.1298241452469026
0.05,1.0,multiplicative,0.12987542940885968
0.05,10.0,multiplicative,0.13247352922221836
0.1,1.0,multiplicative,0.13323618460946426
0.05,5.0,multiplicative,0.13413334682357345
0.1,10.0,multiplicative,0.13861957127345878
0.1,5.0,multiplicative,0.13976215923495294
0.05,1.0,additive,0.14318638755002286
0.05,5.0,additive,0.14454050768611243
0.05,10.0,additive,0.15172149213029515
0.1,10.0,additive,0.16895381125228845
0.1,1.0,additive,0.16913635166580154
0.1,5.0,additive,0.16927138419856597
