changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,1.0,multiplicative,0.10706241339539246
0.01,10.0,multiplicative,0.10706858462962524
0.01,5.0,multiplicative,0.10710036389815385
0.01,10.0,additive,0.10720966012658169
0.01,1.0,additive,0.10736269933497078
0.01,5.0,additive,0.10739555891187103
0.05,1.0,multiplicative,0.10789814985339763
0.05,5.0,multiplicative,0.10791717744195473
0.05,10.0,additive,0.10814862314367513
0.05,10.0,multiplicative,0.1083435605858114
0.1,10.0,multiplicative,0.10858624600291145
0.1,1.0,multiplicative,0.10869974181884842
0.1,5.0,multiplicative,0.10872154893631597
0.05,5.0,additive,0.11141728477240637
0.1,1.0,additive,0.11181281732264095
0.1,5.0,additive,0.11204940330796465
0.05,1.0,additive,0.1124270619489628
0.1,10.0,additive,0.11358063930894129
