changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,10.0,additive,0.15149488013851706
0.01,5.0,additive,0.1522253479721401
0.01,1.0,additive,0.15275676403805416
0.05,1.0,multiplicative,0.15803490887672514
0.05,10.0,multiplicative,0.15973687282085455
0.05,5.0,additive,0.16043482659707783
0.05,10.0,additive,0.16107679689638013
0.05,1.0,additive,0.1612565042169887
0.05,5.0,multiplicative,0.16178906579948504
0.01,10.0,multiplicative,0.16231579622261713
0.01,5.0,multiplicative,0.16277640415091724
0.01,1.0,multiplicative,0.16308126013072663
0.1,1.0,multiplicative,0.17519978151704627
0.1,10.0,multiplicative,0.1780904617271514
0.1,5.0,multiplicative,0.18107034087402224
0.1,5.0,additive,0.18279815623013437
0.1,10.0,additive,0.22977159449518342
0.1,1.0,additive,0.26001868771314757
