changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.05,5.0,multiplicative,0.08290971762744954
0.05,1.0,multiplicative,0.08291733259063126
0.05,10.0,multiplicative,0.08293401242446717
0.01,5.0,multiplicative,0.08294160654844623
0.01,10.0,multiplicative,0.08296390074953107
0.01,1.0,multiplicative,0.08298056742539167
0.1,5.0,multiplicative,0.0833021749931667
0.1,10.0,multiplicative,0.08334186950635061
0.1,1.0,multiplicative,0.083375949713452
0.05,10.0,additive,0.08556476908140244
0.1,5.0,additive,0.08558711743942933
0.1,1.0,additive,0.08559455476199765
0.1,10.0,additive,0.08562409852769694
0.05,5.0,additive,0.08563743931982866
0.05,1.0,additive,0.08564050151640126
0.01,10.0,additive,0.08572971593701602
0.01,1.0,additive,0.0857589869576539
0.01,5.0,additive,0.08576552940922287
