changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,1.0,additive,0.10738696513989411
0.01,10.0,additive,0.10739741833928095
0.01,5.0,additive,0.10744289561704194
0.01,1.0,multiplicative,0.10767197176770592
0.01,10.0,multiplicative,0.10770159307629008
0.01,5.0,multiplicative,0.10780871495356627
0.05,5.0,additive,0.10952589387888448
0.1,5.0,additive,0.10958256402000448
0.05,10.0,additive,0.10966740912503739
0.1,10.0,additive,0.1096967179308613
0.05,1.0,additive,0.10970598537451941
0.05,1.0,multiplicative,0.1098997752387202
0.05,5.0,multiplicative,0.10999541137389603
0.1,5.0,multiplicative,0.11022638042144428
0.05,10.0,multiplicative,0.11035115367030676
0.1,1.0,multiplicative,0.11041409978032839
0.1,1.0,additive,0.1106654366460427
0.1,10.0,multiplicative,0.11082572292842252
