changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.05,10.0,multiplicative,0.1187055519033462
0.05,1.0,multiplicative,0.11884541834023815
0.1,1.0,multiplicative,0.12315225898254384
0.1,10.0,multiplicative,0.13097911725362396
0.01,10.0,multiplicative,0.1318080627967631
0.01,5.0,multiplicative,0.13213169467308383
0.01,1.0,multiplicative,0.1323105466242467
0.1,5.0,multiplicative,0.13360399628616887
0.01,5.0,additive,0.13996650965032012
0.01,10.0,additive,0.140001595948463
0.01,1.0,additive,0.14007520790412117
0.05,5.0,multiplicative,0.14396924975209882
0.05,1.0,additive,0.1448805486477803
0.05,10.0,additive,0.1452756448861678
0.05,5.0,additive,0.1455218315471551
0.1,1.0,additive,0.15434299062795429
0.1,5.0,additive,0.15686516427730368
0.1,10.0,additive,0.15932166825211858
