changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.05,10.0,multiplicative,0.08423635609818626
0.05,5.0,multiplicative,0.0842393418649879
0.05,1.0,multiplicative,0.0842448741889454
0.1,1.0,multiplicative,0.08433350772030204
0.1,5.0,multiplicative,0.08434379656695332
0.1,10.0,multiplicative,0.08436432515571932
0.01,1.0,multiplicative,0.08449617537561717
0.01,5.0,multiplicative,0.08450776195320996
0.01,10.0,multiplicative,0.08453318777562802
0.1,10.0,additive,0.0864617022533886
0.1,5.0,additive,0.08654723686981279
0.1,1.0,additive,0.08654807520883095
0.05,10.0,additive,0.08671984966673482
0.05,1.0,additive,0.0867299344072066
0.05,5.0,additive,0.08678456413094492
0.01,10.0,additive,0.08716442435300081
0.01,1.0,additive,0.08727755575554896
0.01,5.0,additive,0.08727923520830665
