changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,5.0,additive,0.19343896534729849
0.01,10.0,additive,0.19421925132824508
0.01,1.0,additive,0.19459549914439456
0.01,10.0,multiplicative,0.20198260897815531
0.01,5.0,multiplicative,0.2020428428243836
0.01,1.0,multiplicative,0.20305839698202519
0.05,5.0,additive,0.20340019148049007
0.05,5.0,multiplicative,0.2035441348599094
0.05,10.0,multiplicative,0.20443930650539058
0.05,1.0,multiplicative,0.20470918527980292
0.05,1.0,additive,0.20502005903631523
0.05,10.0,additive,0.2054363213241831
0.1,1.0,multiplicative,0.21413066540585995
0.1,10.0,multiplicative,0.2148616390347295
0.1,5.0,multiplicative,0.2160914265856787
0.1,10.0,additive,0.21773626864248655
0.1,5.0,additive,0.218450465980122
0.1,1.0,additive,0.22228739337397777
