changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.05,5.0,multiplicative,0.08456848020305288
0.05,1.0,multiplicative,0.08457823143617503
0.05,10.0,multiplicative,0.08459316829602546
0.1,10.0,additive,0.0847269767412333
0.1,1.0,additive,0.08472726877171866
0.1,5.0,additive,0.08473350388463587
0.05,5.0,additive,0.08482802827488731
0.05,10.0,additive,0.08483258506079942
0.05,1.0,additive,0.08484034233898528
0.1,1.0,multiplicative,0.08492967860699163
0.1,10.0,multiplicative,0.0849359988325078
0.1,5.0,multiplicative,0.08495034104645198
0.01,10.0,multiplicative,0.08497237519190477
0.01,1.0,multiplicative,0.0849894154348526
0.01,5.0,multiplicative,0.08499385037906362
0.01,1.0,additive,0.08538152186857914
0.01,10.0,additive,0.08540085732846679
0.01,5.0,additive,0.08543531621385385
