changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,5.0,additive,0.19238224252998604
0.01,10.0,additive,0.19247882225400814
0.01,1.0,additive,0.19253959097190818
0.01,1.0,multiplicative,0.19727763491446068
0.01,10.0,multiplicative,0.19764524219137627
0.01,5.0,multiplicative,0.19770836854513782
0.05,5.0,additive,0.19953041806785157
0.05,1.0,multiplicative,0.19953114948793635
0.05,5.0,multiplicative,0.19966567487218387
0.05,1.0,additive,0.19998690795899218
0.05,10.0,additive,0.2001012739475923
0.05,10.0,multiplicative,0.2001123729015233
0.1,5.0,additive,0.20538267543719005
0.1,1.0,multiplicative,0.2064962121043809
0.1,10.0,multiplicative,0.20670365342736935
0.1,10.0,additive,0.20823363871746706
0.1,5.0,multiplicative,0.21434783103700653
0.1,1.0,additive,0.21447563738787734
