changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,5.0,additive,0.1908442602604979
0.01,10.0,additive,0.19099757849908666
0.01,1.0,additive,0.1910960002439547
0.01,1.0,multiplicative,0.1945064632118131
0.01,5.0,multiplicative,0.1945366430779513
0.01,10.0,multiplicative,0.19454020643925335
0.05,1.0,multiplicative,0.19666054694525809
0.05,10.0,multiplicative,0.19688003626564626
0.05,5.0,multiplicative,0.19796240447022878
0.05,10.0,additive,0.19940333041109287
0.05,1.0,additive,0.20116911704307835
0.05,5.0,additive,0.20241175350839902
0.1,1.0,multiplicative,0.2089012646294325
0.1,10.0,multiplicative,0.2138082611232048
0.1,5.0,multiplicative,0.2145993421019221
0.1,10.0,additive,0.21556210873548218
0.1,5.0,additive,0.21598637261038556
0.1,1.0,additive,0.2184059548684818
