changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,1.0,multiplicative,0.1072848947636177
0.01,10.0,multiplicative,0.10729092120078224
0.01,5.0,multiplicative,0.10732199698847728
0.01,10.0,additive,0.10742820671912715
0.01,1.0,additive,0.1075740477103907
0.01,5.0,additive,0.1076046885528865
0.05,1.0,multiplicative,0.10805780049782325
0.05,5.0,multiplicative,0.10807633500992812
0.05,10.0,additive,0.10829603517401573
0.05,10.0,multiplicative,0.10848184051196502
0.1,10.0,multiplicative,0.10870961076882202
0.1,1.0,multiplicative,0.1088178132380454
0.1,5.0,multiplicative,0.10883838042531124
0.05,5.0,additive,0.11140488496585257
0.1,1.0,additive,0.11177526905108397
0.1,5.0,additive,0.1120008219428597
0.05,1.0,additive,0.11236891879916795
0.1,10.0,additive,0.11346062814319864
