changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.05,10.0,multiplicative,0.12820279457527098
0.05,1.0,multiplicative,0.12856278146037348
0.1,1.0,multiplicative,0.1355602404177211
0.01,10.0,multiplicative,0.14146618754052404
0.1,10.0,multiplicative,0.1416171700118878
0.01,5.0,multiplicative,0.14176132387145027
0.01,1.0,multiplicative,0.14186056368114944
0.1,5.0,multiplicative,0.14436709981457244
0.05,5.0,multiplicative,0.14504621380086438
0.01,1.0,additive,0.15033001038385035
0.01,5.0,additive,0.15076363366311374
0.01,10.0,additive,0.15096595288090853
0.05,1.0,additive,0.15934900007007607
0.05,10.0,additive,0.16157648167720337
0.05,5.0,additive,0.16297578490435516
0.1,5.0,additive,0.17394216372718938
0.1,1.0,additive,0.17421167660156592
0.1,10.0,additive,0.17537377194582796
