changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,5.0,additive,0.19276059718546504
0.01,10.0,additive,0.19299137581237566
0.01,1.0,additive,0.19319159184440213
0.05,10.0,additive,0.19905819171356418
0.05,5.0,additive,0.19911188363299445
0.05,5.0,multiplicative,0.19924562426579787
0.05,1.0,additive,0.19957013509609908
0.05,1.0,multiplicative,0.1997591258423095
0.05,10.0,multiplicative,0.2003114197279362
0.01,10.0,multiplicative,0.2020509833409022
0.01,5.0,multiplicative,0.20225780581121405
0.01,1.0,multiplicative,0.20281625484043136
0.1,10.0,multiplicative,0.2061928642254482
0.1,5.0,multiplicative,0.20684209525105407
0.1,1.0,multiplicative,0.20699004038165392
0.1,5.0,additive,0.21393355226039393
0.1,10.0,additive,0.21540422078715352
0.1,1.0,additive,0.21837481069706655
