changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,1.0,additive,0.1773891046821402
0.01,5.0,additive,0.1774169181619087
0.01,10.0,additive,0.17765255321911627
0.05,10.0,multiplicative,0.18069162704817127
0.05,5.0,multiplicative,0.1818766945711563
0.05,1.0,multiplicative,0.18250537202060788
0.1,1.0,additive,0.18267393633235104
0.1,5.0,additive,0.18315667626037102
0.1,10.0,multiplicative,0.1832550120238561
0.1,5.0,multiplicative,0.18338426599929308
0.1,1.0,multiplicative,0.18345942787647643
0.1,10.0,additive,0.18348928040805998
0.05,5.0,additive,0.1843536572666179
0.05,1.0,additive,0.1857782057929432
0.05,10.0,additive,0.18601665153070623
0.01,10.0,multiplicative,0.18638044523619948
0.01,5.0,multiplicative,0.18669752589965516
0.01,1.0,multiplicative,0.18808156619152192
