changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.05,5.0,additive,0.1554650614353264
0.05,1.0,multiplicative,0.1560461876351497
0.05,10.0,additive,0.1563623823416946
0.01,1.0,multiplicative,0.1570179039205452
0.01,10.0,additive,0.15708952854942163
0.01,5.0,multiplicative,0.15737731420200576
0.01,10.0,multiplicative,0.157488060166213
0.01,5.0,additive,0.1576664980959214
0.05,1.0,additive,0.15798967626047733
0.05,10.0,multiplicative,0.15866727777456743
0.01,1.0,additive,0.15901209352292894
0.05,5.0,multiplicative,0.1627669646714356
0.1,1.0,multiplicative,0.16490443563218374
0.1,5.0,multiplicative,0.16827589285680206
0.1,10.0,multiplicative,0.16840582710847998
0.1,5.0,additive,0.1834049928701121
0.1,10.0,additive,0.25737613071582804
0.1,1.0,additive,0.3013977865897761
