changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.05,10.0,multiplicative,0.18223546033476584
0.05,5.0,multiplicative,0.18247495111584514
0.01,5.0,additive,0.18254606335460252
0.01,10.0,additive,0.1826763005501984
0.05,1.0,multiplicative,0.1827166403563768
0.01,1.0,additive,0.18278715698262302
0.1,10.0,multiplicative,0.18353849621781926
0.01,10.0,multiplicative,0.18375652020096053
0.1,5.0,multiplicative,0.1839162125189065
0.1,1.0,multiplicative,0.18408883417087038
0.01,5.0,multiplicative,0.1843972353131465
0.1,1.0,additive,0.18462142811049861
0.1,10.0,additive,0.1847412014351422
0.1,5.0,additive,0.18552437124563811
0.05,5.0,additive,0.1855520035370024
0.05,1.0,additive,0.1861425603788038
0.01,1.0,multiplicative,0.186179312059816
0.05,10.0,additive,0.18709179688688932
