changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0.01,1.0,additive,0.1334873664492787
0.01,10.0,additive,0.13364627598191786
0.01,5.0,additive,0.13366987085527454
0.05,1.0,additive,0.13835655620971035
0.05,10.0,additive,0.13907456478362543
0.05,5.0,multiplicative,0.1391128109664071
0.05,5.0,additive,0.13970773594931032
0.05,1.0,multiplicative,0.13971020266639286
0.05,10.0,multiplicative,0.13990112867106966
0.1,10.0,additive,0.13994620136925526
0.1,1.0,additive,0.14036116795710793
0.1,5.0,additive,0.14118605618803717
0.01,5.0,multiplicative,0.1448581919402633
0.01,10.0,multiplicative,0.14502752262857482
0.01,1.0,multiplicative,0.1453842475422925
0.1,10.0,multiplicative,0.1458420264781266
0.1,5.0,multiplicative,0.1461568698420457
0.1,1.0,multiplicative,0.14659243678866124
